處理的字串,predict
輕音樂,(0 3 category)
沙漠駱駝,(0 4 song)
我要聽薛之謙的歌,(3 6 artist)
我要聽小牛頓,(3 6 audiobook_category)
我要聽爵士音樂,(3 5 category)
c哩c哩,(0 4 song)
請播放肖邦的音樂,(3 5 artist)
兩隻老虎,(0 4 song)
我要聽喬幼的歌,(3 5 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
沙漠駱駝,(0 4 song)
我要聽愛情的模樣,(3 8 song)
播放一曲相思,(2 6 song)
陳小雲,(0 3 artist)
愛我你就抱抱我,(0 7 song)
我要聽思鄉情歌,(5 7 theme)
我要聽熱門歌曲,(3 5 keyword)
故事,(0 2 general_audiobook)
我要聽蔡小虎的歌,(3 6 artist)
我要聽兒歌,(3 5 song)
我要聽三隻小豬的故事,(3 7 audiobook)
我要聽新歌,(3 5 keyword)
兩隻老虎,(0 4 song)
生僻字,(0 3 song)
涼涼,(0 2 song)
播放華語流行歌曲,(2 4 language)
我要聽獨立音樂,(3 5 category)
我要聽于文文的歌,(3 6 artist)
愛江山更愛美人,(0 7 song)
我要聽 Michael Jackson,(0 5 song)
烽火天榜,(0 4 song)
播放日語歌,(2 4 language)
我要聽雷鬼音樂,(3 5 category)
陳小春,(0 3 artist)
幫我放曾寶儀,(3 6 artist)
我要聽華語新歌,(3 5 language)
我要聽吳卓源的歌,(3 6 artist)
故事,(0 2 general_audiobook)
西洋音樂,(0 2 language)
我要聽留不住的故事,(3 9 song)
烽火天榜,(0 4 song)
我要聽童謠,(3 5 theme)
我要聽張雨生的歌,(3 6 artist)
我要聽月琴,(3 5 song)
播你的電話又來到,(1 5 song)
我要聽獨立音樂,(3 5 category)
我要聽許茹芸的歌,(3 6 artist)
我要聽小星星,(3 6 song)
學貓叫,(0 3 song)
我要聽排行榜,(3 6 keyword)
我要聽黃乙玲的歌,(3 6 artist)
陳小春,(0 3 artist)
播放一曲相思,(2 6 song)
我要聽盧廣仲的歌,(3 6 artist)
播放音樂,(0 4 song)
我要聽節奏藍調音樂,(3 7 category)
我要聽睡眠音樂,(3 5 theme)
我要聽搖滾音樂,(3 5 category)
我要聽盧廣仲的歌,(3 6 artist)
我要聽童安格的歌,(3 6 artist)
往後餘生,(0 4 song)
播放一曲相思,(2 6 song)
獨家記憶,(0 4 song)
