,處理的字串,label,predict
0,輕音樂,(0 3),(0 3)
1,沙漠駱駝,(0 4),(0 4)
2,我要聽薛之謙的歌,(3 6),(3 6)
3,我要聽小牛頓,(3 6),(3 6)
4,我要聽爵士音樂,(3 5),(3 5)
5,c哩c哩,(1 2) (3 4),(0 4)
6,請播放肖邦的音樂,(1 3),(3 5)
7,兩隻老虎,(0 4),(0 4)
8,我要聽喬幼的歌,(3 5),(3 5)
9,我要聽吳卓源的歌,(3 6),(3 6)
10,我要聽煙花易冷,(3 7),(3 7)
11,沙漠駱駝,(0 4),(0 4)
12,我要聽愛情的模樣,(3 8),(3 8)
13,播放一曲相思,(2 6),(2 6)
14,陳小雲,(0 3),(0 3)
15,愛我你就抱抱我,(0 7),(0 7)
16,我要聽思鄉情歌,(3 6),(3 7)
17,我要聽熱門歌曲,(3 5),(3 5)
18,故事,(0 2),(0 2)
19,我要聽蔡小虎的歌,(3 6),(3 6)
20,我要聽兒歌,(3 5),(3 5)
21,我要聽三隻小豬的故事,(3 7),(3 7)
22,我要聽新歌,(3 5),(3 5)
23,兩隻老虎,(0 4),(0 4)
24,生僻字,(0 3),(0 3)
25,涼涼,(0 2),(0 2)
26,播放華語流行歌曲,(2 4) (4 6),(2 4) (4 6)
27,我要聽獨立音樂,(3 5),(3 5)
28,我要聽于文文的歌,(3 6),(3 6)
29,愛江山更愛美人,(0 7),(0 7)
30,我要聽 Michael Jackson,(4 19),(4 19)
31,烽火天榜,(0 4),(0 4)
32,播放日語歌,(2 4),(2 4)
33,我要聽雷鬼音樂,(3 5),(3 5)
34,陳小春,(0 3),(0 3)
35,幫我放曾寶儀,(3 6),(3 6)
36,我要聽華語新歌,(3 5) (5 7),(3 5) (5 7)
37,我要聽吳卓源的歌,(3 6),(3 6)
38,故事,(0 2),(0 2)
39,西洋音樂,(0 2),(0 2)
40,我要聽留不住的故事,(3 9),(3 9)
41,烽火天榜,(0 4),(0 4)
42,我要聽童謠,(3 5),(3 5)
43,我要聽張雨生的歌,(3 6),(3 6)
44,我要聽月琴,(3 5),(3 5)
45,播你的電話又來到,(1 5),(1 5)
46,我要聽獨立音樂,(3 5),(3 5)
47,我要聽許茹芸的歌,(3 6),(3 6)
48,我要聽小星星,(3 6),(3 6)
49,學貓叫,(0 3),(0 3)
50,我要聽排行榜,(3 6),(3 6)
