,處理的字串,label,predict
0,輕音樂,play_category,play_category
1,沙漠駱駝,play_song,play_song
2,我要聽薛之謙的歌,play_artist,play_artist
3,我要聽小牛頓,play_audiobook_category,play_audiobook_category
4,我要聽爵士音樂,play_category,play_category
5,c哩c哩,play_playlist,play_playlist
6,請播放肖邦的音樂,play_song,play_artist
7,兩隻老虎,play_song,play_song
8,我要聽喬幼的歌,play_artist,play_artist
9,我要聽吳卓源的歌,play_artist,play_artist
10,我要聽煙花易冷,play_song,play_song
11,沙漠駱駝,play_song,play_song
12,我要聽愛情的模樣,play_song,play_song
13,播放一曲相思,play_song,play_song
14,陳小雲,play_artist,play_artist
15,愛我你就抱抱我,play_song,play_song
16,我要聽思鄉情歌,play_song,play_theme
17,我要聽熱門歌曲,play_trending,play_trending
18,故事,play_general_audiobook,play_general_audiobook
19,我要聽蔡小虎的歌,play_artist,play_artist
20,我要聽兒歌,play_song,play_song
21,我要聽三隻小豬的故事,play_audiobook,play_audiobook
22,我要聽新歌,play_new_song,play_new_song
23,兩隻老虎,play_song,play_song
24,生僻字,play_song,play_song
25,涼涼,play_song,play_song
26,播放華語流行歌曲,play_language_trending,play_language_trending
27,我要聽獨立音樂,play_category,play_category
28,我要聽于文文的歌,play_artist,play_artist
29,愛江山更愛美人,play_song,play_song
30,我要聽 Michael Jackson,play_artist,play_artist
31,烽火天榜,play_song,play_song
32,播放日語歌,play_language,play_language
33,我要聽雷鬼音樂,play_category,play_category
34,陳小春,play_artist,play_artist
35,幫我放曾寶儀,play_artist,play_artist
36,我要聽華語新歌,play_language_new_song,play_language_new_song
37,我要聽吳卓源的歌,play_artist,play_artist
38,故事,play_general_audiobook,play_general_audiobook
39,西洋音樂,play_language,play_language
40,我要聽留不住的故事,play_song,play_song
41,烽火天榜,play_song,play_song
42,我要聽童謠,play_theme,play_theme
43,我要聽張雨生的歌,play_artist,play_artist
44,我要聽月琴,play_song,play_song
45,播你的電話又來到,play_song,play_song
46,我要聽獨立音樂,play_category,play_category
47,我要聽許茹芸的歌,play_artist,play_artist
48,我要聽小星星,play_song,play_song
49,學貓叫,play_song,play_song
50,我要聽排行榜,play_chart,play_chart
51,我要聽黃乙玲的歌,play_artist,play_artist
52,陳小春,play_artist,play_artist
53,播放一曲相思,play_song,play_song
54,我要聽盧廣仲的歌,play_artist,play_artist
55,播放音樂,play_general_music,play_general_music
56,我要聽節奏藍調音樂,play_category,play_category
57,我要聽睡眠音樂,play_theme,play_theme
58,我要聽搖滾音樂,play_category,play_category
59,我要聽盧廣仲的歌,play_artist,play_artist
60,我要聽童安格的歌,play_artist,play_artist
61,往後餘生,play_song,play_song
62,播放一曲相思,play_song,play_song
63,獨家記憶,play_song,play_song
64,我要聽林俊傑的歌,play_artist,play_artist
65,古雞古雞康康,play_artist,play_song
66,播高軒的沒有你,play_song,play_song
67,我要聽王力宏的歌,play_artist,play_artist
68,我要聽熱門歌曲,play_trending,play_trending
69,我要聽林俊傑的歌,play_artist,play_artist
70,我要聽熱門歌曲,play_trending,play_trending
71,我要聽茄子蛋的歌,play_artist,play_artist
72,我要聽搖滾音樂,play_category,play_category
73,沙漠駱駝,play_song,play_song
74,播放一曲相思,play_song,play_song
75,我要聽防彈少年團的歌,play_artist,play_artist
76,故事,play_general_audiobook,play_general_audiobook
77,我想聽tfboys的歌,play_artist,play_artist
78,我要聽防彈少年團的歌,play_artist,play_artist
79,愛我你就抱抱我,play_song,play_song
80,涼涼,play_song,play_song
81,我要聽林俊傑的歌,play_artist,play_artist
82,我要聽林俊傑的歌,play_artist,play_artist
83,我要聽古典音樂,play_category,play_category
84,我要聽孫露的歌,play_artist,play_artist
85,往後餘生,play_song,play_song
86,我要聽鄧麗君的歌,play_artist,play_artist
87,我要聽童話故事,play_audiobook_category,play_audiobook_category
88,我要聽蔡依林的歌,play_artist,play_artist
89,我要聽日文歌,play_language,play_language
90,我要聽黃乙玲的歌,play_artist,play_artist
91,我想聽she的十七,play_artist_song,play_artist_song
92,播放歌曲,play_general_music,play_general_music
93,我要聽宇多田的歌,play_song,play_song
94,我要聽周杰倫的歌,play_artist,play_artist
95,愛我你就抱抱我,play_song,play_song
96,我要聽相聲,play_audiobook_category,play_audiobook_category
97,學貓叫,play_song,play_song
98,往後餘生,play_song,play_song
99,康康,play_artist,play_artist
100,我要聽爵士音樂,play_category,play_category
101,我要聽音樂,play_general_music,play_general_music
102,我要聽買榜,play_song,play_song
103,我要聽快樂天堂,play_song,play_song
104,我要聽天生歌姬,play_album,play_album
105,我要聽留不住的故事,play_song,play_song
106,陳淑樺的歌,play_artist,play_artist
107,我要聽吳卓源的歌,play_artist,play_artist
108,播放一曲相思,play_song,play_song
109,蘇永康,play_artist,play_artist
110,我要聽田馥甄的歌,play_artist,play_artist
111,播放一曲相思,play_song,play_song
112,播放音樂,play_general_music,play_general_music
113,播放小紅帽的兒童故事,play_audiobook_category,play_audiobook_category
114,學貓叫,play_song,play_song
115,播放一曲相思,play_song,play_song
116,我要聽王力宏的歌,play_artist,play_artist
117,我要聽留不住的故事,play_song,play_song
118,放抒情歌,play_theme,play_theme
119,唱一首小蘋果,play_song,play_song
120,我要聽林俊傑的歌,play_artist,play_artist
121,我要聽周杰倫的歌,play_artist,play_artist
