,處理的字串,label,predict
0,輕音樂,play_category,play_category
1,沙漠駱駝,play_song play_album,play_song play_album
2,我要聽薛之謙的歌,play_artist play_album,play_artist play_album
3,我要聽小牛頓,play_song play_audiobook play_audiobook_category,play_song
4,我要聽爵士音樂,play_category,play_category
5,c哩c哩,play_playlist,play_song
6,請播放肖邦的音樂,play_song,
7,兩隻老虎,play_song,play_song
8,我要聽喬幼的歌,play_artist,play_artist
9,我要聽吳卓源的歌,play_artist,play_artist
10,我要聽煙花易冷,play_song,play_song
11,沙漠駱駝,play_song play_album,play_song play_album
12,我要聽愛情的模樣,play_song,play_song
13,播放一曲相思,play_song play_album,play_song play_album
14,陳小雲,play_artist play_album,play_artist
15,愛我你就抱抱我,play_song play_album,play_song play_album
16,我要聽思鄉情歌,play_song play_album,play_song play_theme
17,我要聽熱門歌曲,play_trending,play_trending
18,故事,play_general_audiobook,play_general_audiobook
19,我要聽蔡小虎的歌,play_artist,play_artist
20,我要聽兒歌,play_artist play_song,play_artist play_song
21,我要聽三隻小豬的故事,play_audiobook,play_song play_audiobook_category
22,我要聽新歌,play_new_song,play_new_song play_language_new_song
23,兩隻老虎,play_song,play_song
24,生僻字,play_song play_album,play_song play_album
25,涼涼,play_song play_album,play_song play_album
26,播放華語流行歌曲,play_trending play_language_trending,play_trending
27,我要聽獨立音樂,play_category,play_category
28,我要聽于文文的歌,play_artist play_playlist,play_artist
29,愛江山更愛美人,play_song,play_song play_album
30,我要聽 Michael Jackson,play_artist play_album,play_artist play_song
31,烽火天榜,play_song,play_song
32,播放日語歌,play_language,play_language
33,我要聽雷鬼音樂,play_category,play_category
34,陳小春,play_artist play_song,play_artist
35,幫我放曾寶儀,play_artist play_song,play_artist play_album
36,我要聽華語新歌,play_new_song play_language_new_song,play_new_song play_language_new_song
37,我要聽吳卓源的歌,play_artist,play_artist
38,故事,play_general_audiobook,play_general_audiobook
39,西洋音樂,play_language,play_language
40,我要聽留不住的故事,play_song,play_song
41,烽火天榜,play_song,play_song
42,我要聽童謠,play_song play_theme,play_song play_theme
43,我要聽張雨生的歌,play_artist play_song play_album,play_artist play_song play_album
44,我要聽月琴,play_song,play_song
45,播你的電話又來到,play_song,play_song
46,我要聽獨立音樂,play_category,play_category
47,我要聽許茹芸的歌,play_artist,play_artist
48,我要聽小星星,play_song,play_song
49,學貓叫,play_song play_album,play_song play_album
50,我要聽排行榜,play_chart,play_chart
51,我要聽黃乙玲的歌,play_artist,play_artist
52,陳小春,play_artist play_song,play_artist
53,播放一曲相思,play_song play_album,play_song play_album
54,我要聽盧廣仲的歌,play_artist,play_artist play_album
55,播放音樂,play_general_music,play_general_music
56,我要聽節奏藍調音樂,play_category,play_category
57,我要聽睡眠音樂,play_artist play_song play_album play_theme,play_theme
