處理的字串,label,predict
輕音樂,play_category,play_category
沙漠駱駝,play_song,play_song
我要聽薛之謙的歌,play_artist,play_artist
我要聽小牛頓,play_audiobook_category,play_audiobook_category
我要聽爵士音樂,play_category,play_category
c哩c哩,play_playlist,play_song
請播放肖邦的音樂,play_song,play_artist
兩隻老虎,play_song,play_song
我要聽喬幼的歌,play_artist,play_artist
我要聽吳卓源的歌,play_artist,play_artist
我要聽煙花易冷,play_song,play_song
沙漠駱駝,play_song,play_song
我要聽愛情的模樣,play_song,play_song
播放一曲相思,play_song,play_song
陳小雲,play_artist,play_artist
愛我你就抱抱我,play_song,play_song
我要聽思鄉情歌,play_song,play_theme
我要聽熱門歌曲,play_trending,play_trending
故事,play_general_audiobook,play_general_audiobook
我要聽蔡小虎的歌,play_artist,play_artist
我要聽兒歌,play_song,play_song
我要聽三隻小豬的故事,play_audiobook,play_audiobook
我要聽新歌,play_new_song,play_new_song
兩隻老虎,play_song,play_song
生僻字,play_song,play_song
涼涼,play_song,play_song
播放華語流行歌曲,play_language_trending,play_language_trending
我要聽獨立音樂,play_category,play_category
我要聽于文文的歌,play_artist,play_artist
愛江山更愛美人,play_song,play_song
我要聽 Michael Jackson,play_artist,play_artist
烽火天榜,play_song,play_song
播放日語歌,play_language,play_language
我要聽雷鬼音樂,play_category,play_category
陳小春,play_artist,play_artist
幫我放曾寶儀,play_artist,play_artist
我要聽華語新歌,play_language_new_song,play_language_new_song
我要聽吳卓源的歌,play_artist,play_artist
故事,play_general_audiobook,play_general_audiobook
西洋音樂,play_language,play_language
我要聽留不住的故事,play_song,play_song
烽火天榜,play_song,play_song
我要聽童謠,play_theme,play_theme
我要聽張雨生的歌,play_artist,play_artist
我要聽月琴,play_song,play_song
播你的電話又來到,play_song,play_song
我要聽獨立音樂,play_category,play_category
我要聽許茹芸的歌,play_artist,play_artist
我要聽小星星,play_song,play_song
學貓叫,play_song,play_song
我要聽排行榜,play_chart,play_chart
我要聽黃乙玲的歌,play_artist,play_artist
陳小春,play_artist,play_artist
播放一曲相思,play_song,play_song
我要聽盧廣仲的歌,play_artist,play_artist
播放音樂,play_general_music,play_general_music
我要聽節奏藍調音樂,play_category,play_category
我要聽睡眠音樂,play_theme,play_theme
我要聽搖滾音樂,play_category,play_category
我要聽盧廣仲的歌,play_artist,play_artist
我要聽童安格的歌,play_artist,play_artist
往後餘生,play_song,play_song
播放一曲相思,play_song,play_song
獨家記憶,play_song,play_song
我要聽林俊傑的歌,play_artist,play_artist
古雞古雞康康,play_artist,play_artist
播高軒的沒有你,play_song,play_artist_song
我要聽王力宏的歌,play_artist,play_artist
我要聽熱門歌曲,play_trending,play_trending
我要聽林俊傑的歌,play_artist,play_artist
我要聽熱門歌曲,play_trending,play_trending
我要聽茄子蛋的歌,play_artist,play_artist
我要聽搖滾音樂,play_category,play_category
沙漠駱駝,play_song,play_song
播放一曲相思,play_song,play_song
我要聽防彈少年團的歌,play_artist,play_artist
故事,play_general_audiobook,play_general_audiobook
我想聽tfboys的歌,play_artist,play_artist
我要聽防彈少年團的歌,play_artist,play_artist
愛我你就抱抱我,play_song,play_song
涼涼,play_song,play_song
我要聽林俊傑的歌,play_artist,play_artist
我要聽林俊傑的歌,play_artist,play_artist
我要聽古典音樂,play_category,play_category
我要聽孫露的歌,play_artist,play_artist
往後餘生,play_song,play_song
我要聽鄧麗君的歌,play_artist,play_artist
我要聽童話故事,play_audiobook_category,play_audiobook_category
我要聽蔡依林的歌,play_artist,play_artist
我要聽日文歌,play_language,play_language
我要聽黃乙玲的歌,play_artist,play_artist
我想聽she的十七,play_artist_song,play_artist_song
播放歌曲,play_general_music,play_general_music
我要聽宇多田的歌,play_song,play_song
我要聽周杰倫的歌,play_artist,play_artist
愛我你就抱抱我,play_song,play_song
我要聽相聲,play_audiobook_category,play_audiobook_category
學貓叫,play_song,play_song
往後餘生,play_song,play_song
康康,play_artist,play_artist
我要聽爵士音樂,play_category,play_category
我要聽音樂,play_general_music,play_general_music
我要聽買榜,play_song,play_song
我要聽快樂天堂,play_song,play_song
我要聽天生歌姬,play_album,play_album
我要聽留不住的故事,play_song,play_song
陳淑樺的歌,play_artist,play_artist
我要聽吳卓源的歌,play_artist,play_artist
播放一曲相思,play_song,play_song
蘇永康,play_artist,play_artist
我要聽田馥甄的歌,play_artist,play_artist
播放一曲相思,play_song,play_song
播放音樂,play_general_music,play_general_music
播放小紅帽的兒童故事,play_audiobook_category,play_audiobook_category
學貓叫,play_song,play_song
播放一曲相思,play_song,play_song
我要聽王力宏的歌,play_artist,play_artist
我要聽留不住的故事,play_song,play_song
放抒情歌,play_theme,play_theme
唱一首小蘋果,play_song,play_song
我要聽林俊傑的歌,play_artist,play_artist
我要聽周杰倫的歌,play_artist,play_artist
沙漠駱駝,play_song,play_song
我要聽故事,play_general_audiobook,play_general_audiobook
我要聽華語新歌,play_language_new_song,play_language_new_song
游鴻明,play_artist,play_artist
我要聽台語歌,play_language,play_language
我要聽蕭敬騰的歌,play_artist,play_artist
我要聽動力火車的歌,play_artist,play_artist
我要聽新歌,play_new_song,play_new_song
我要聽新歌,play_new_song,play_new_song
兩隻老虎,play_song,play_song
生僻字,play_song,play_song
Celine Dion,play_artist,play_artist
我要聽吳卓源的歌,play_artist,play_artist
愛我你就抱抱我,play_song,play_song
我要聽于文文的歌,play_artist,play_artist
我要聽英文版綠野仙蹤,play_audiobook,play_audiobook
播放一曲相思,play_song,play_song
放抒情歌,play_theme,play_theme
兩隻老虎,play_song,play_song
兩隻老虎,play_song,play_song
我要聽周杰倫聽見下雨的聲音,play_artist_song,play_artist_song
播放一曲相思,play_song,play_song
周傳雄,play_artist,play_artist
播放蕭敬騰的王妃,play_artist_album,play_artist
兩隻老虎,play_song,play_song
我要聽熱門歌曲,play_trending,play_trending
我要聽睡眠音樂,play_theme,play_theme
我要聽費玉清的歌,play_artist,play_artist
播放起風了,play_song,play_song
我要聽光年之外,play_song,play_song
我要聽吳卓源的歌,play_artist,play_artist
我要聽光年之外,play_song,play_song
我要聽買榜,play_song,play_song
播放音樂,play_general_music,play_general_music
我要聽歪批三國,play_song,play_song
我要聽鬼故事,play_audiobook_category,play_audiobook_category
我想聽甜蜜蜜,play_song,play_song
我要聽歪批三國,play_song,play_song
唱一首小蘋果,play_song,play_song
我要聽紅蜻蜓,play_song,play_song
我要聽小野麗莎的歌,play_artist,play_artist
播放一曲相思,play_song,play_song
播放八度空間,play_album,play_album
唱一首小蘋果,play_song,play_song
我要聽123我愛你,play_song,play_song
我要聽爵士音樂,play_category,play_category
愛我你就抱抱我,play_song,play_song
我要聽粵語歌,play_language,play_language
播放一曲相思,play_song,play_song
我要聽華語新歌,play_language_new_song,play_language_new_song
我要聽王力宏的歌,play_artist,play_artist
學貓叫,play_song,play_song
我要聽于文文的歌,play_artist,play_artist
我要聽劉德華的歌,play_artist,play_artist
播放一曲相思,play_song,play_song
我要聽心靈音樂,play_category,play_category
我要聽于文文的歌,play_artist,play_artist
播放一曲相思,play_song,play_song
畢書盡,play_artist,play_artist
故事,play_general_audiobook,play_general_audiobook
我要聽留不住的故事,play_song,play_song
我要聽林俊傑的歌,play_artist,play_artist
我要聽楊丞琳的歌,play_artist,play_artist
學貓叫,play_song,play_song
播放韓語歌,play_language,play_language
幫我剝采育的笑,play_song,play_song
播放熱門歌曲,play_trending,play_trending
我要聽童話故事,play_audiobook_category,play_audiobook_category
張碧晨,play_artist,play_artist
我要聽粵語歌,play_language,play_language
播放一曲相思,play_song,play_song
我要聽街角的祝福,play_song,play_song
魏龍豪相聲,play_audiobook_category,play_audiobook_category
我要聽鄉村音樂排行榜,play_category_chart,play_category_chart
我要聽新歌,play_new_song,play_new_song
我想聽新歌,play_new_song,play_new_song
我要聽光年之外,play_song,play_song
我要聽華語音樂,play_language,play_language
我要聽華語新歌,play_language_new_song,play_language_new_song
我要聽華語新歌,play_language_new_song,play_language_new_song
我要聽周杰倫的歌,play_artist,play_artist
我要聽台語歌,play_language,play_language
我要聽熱門歌曲,play_trending,play_trending
我要聽田馥甄的歌,play_artist,play_artist
我要聽周杰倫的歌,play_artist,play_artist
我想聽天地無霜,play_song,play_song
我要聽王力宏的歌,play_artist,play_artist
播放一曲相思,play_song,play_song
播放音樂,play_general_music,play_general_music
播放寶貝寶貝,play_song,play_song
學貓叫,play_song,play_song
我要聽張韶涵的歌,play_artist,play_artist
我要聽林俊傑的歌,play_artist,play_artist
兩隻老虎,play_song,play_song
我要聽愛情的模樣,play_song,play_song
我要聽搖滾,play_category,play_category
我要聽兒歌,play_song,play_song
我要聽李榮浩的歌,play_artist,play_artist
播放起風了,play_song,play_song
我要聽劉德華的歌,play_artist,play_artist
播放悲傷如雨,play_theme,play_song
我要聽月琴,play_song,play_song
我要聽買榜,play_song,play_song
葉倩文的哭砂,play_artist_song,play_artist_song
學貓叫,play_song,play_song
我要聽周興哲的歌,play_artist,play_artist
我要聽薛之謙的歌,play_artist,play_artist
聽廣播,play_song,play_category
我要聽買榜,play_song,play_song
我要聽橄欖樹,play_song,play_song
我要聽齊天大聖再鬧天宮,play_audiobook,play_audiobook
我要聽走到飛,play_song,play_song
唱一首小蘋果,play_song,play_song
Beat it,play_song,play_song
心經,play_song,play_song
我要聽相聲,play_audiobook_category,play_audiobook_category
我要聽光年之外,play_song,play_song
播放起風了,play_song,play_song
我想聽戀人未滿,play_song,play_song
播放,play_playlist,play_song
我要聽吳卓源的歌,play_artist,play_artist
我要聽許茹芸的歌,play_artist,play_artist
我要聽入陣曲,play_song,play_song
播放小紅帽的兒童故事,play_audiobook_category,play_audiobook_category
我要聽床邊故事,play_audiobook_category,play_audiobook_category
我要聽童話故事,play_audiobook_category,play_audiobook_category
我要聽熱門歌曲,play_trending,play_trending
我要聽相聲,play_audiobook_category,play_audiobook_category
我要聽對面的女孩看過來,play_song,play_song
我要聽走到飛,play_song,play_song
我要聽孫悟空觸犯天條,play_audiobook,play_audiobook
我要聽童話故事,play_audiobook_category,play_audiobook_category
華語流行音樂,play_language_trending,play_language_trending
播放韓語歌,play_language,play_language
唱一首小蘋果,play_song,play_song
我要聽周興哲的歌,play_artist,play_artist
我要聽陳綺貞的歌,play_artist,play_artist
我要聽留不住的故事,play_song,play_song
我要聽搖滾音樂,play_category,play_category
我要聽月琴,play_song,play_song
我要聽米津玄師,play_artist,play_artist
我要聽古典音樂,play_category,play_category
我要聽陳綺貞的歌,play_artist,play_artist
播放一曲相思,play_song,play_song
我要聽林俊傑的歌,play_artist,play_artist
我要聽鄧紫棋的歌,play_artist,play_artist
我要聽相聲,play_audiobook_category,play_audiobook_category
播放起風了,play_song,play_song
兩隻老虎,play_song,play_song
我要聽失戀排行榜,play_chart,play_chart
沙漠駱駝,play_song,play_song
我要聽光年之外,play_song,play_song
兩隻老虎,play_song,play_song
播放一曲相思,play_song,play_song
我要聽費玉清的歌,play_artist,play_artist
播放范曉萱健康歌,play_artist_song,play_artist_song
唱一首小蘋果,play_song,play_song
幫我放韋禮安的還是會,play_artist_song,play_artist_song
我要聽兒歌,play_song,play_song
播放爵士音樂,play_category,play_category
播放輕音樂,play_category,play_category
我要聽音樂,play_general_music,play_general_music
播放一曲相思,play_song,play_song
播放一曲相思,play_song,play_song
我要聽相聲,play_audiobook_category,play_audiobook_category
我要聽新歌,play_new_song,play_new_song
播放一曲相思,play_song,play_song
我要聽于文文的歌,play_artist,play_artist
我要聽故事,play_general_audiobook,play_general_audiobook
我要聽鬼故事,play_audiobook_category,play_audiobook_category
我要聽相聲,play_audiobook_category,play_audiobook_category
我要聽阿拉丁電影原聲帶a whole new world,play_song,play_song
沙漠駱駝,play_song,play_song
我要聽春天的歌曲,play_song,play_song
我要聽相聲,play_audiobook_category,play_audiobook_category
我要聽情歌精選,play_song,play_theme
沙漠駱駝,play_song,play_song
我要聽春天的歌曲,play_song,play_song
唱一首小蘋果,play_song,play_song
西洋音樂,play_language,play_language
我要聽日文歌,play_language,play_language
我要聽獨立音樂,play_category,play_category
我要聽感到憤怒的歌曲,play_theme,play_theme
我要聽日文歌,play_language,play_language
我要聽晴天,play_song,play_song
我要聽伍佰的歌,play_album,play_album
我要聽街角的祝福,play_song,play_song
我要聽李榮浩的歌,play_artist,play_artist
我要聽張韶涵的歌,play_artist,play_artist
高勝美,play_artist,play_artist
我要聽爵士音樂,play_category,play_category
我要聽華語新歌,play_language_new_song,play_language_new_song
播放芭比的触电,play_album,play_artist_song
我要聽孫悟空觸犯天條,play_audiobook,play_audiobook
我要聽于文文的歌,play_artist,play_artist
播放起風了,play_song,play_song
我要聽日文歌,play_language,play_language
我要聽童話故事,play_audiobook_category,play_audiobook_category
我要聽葉啟田的歌,play_artist,play_artist
陳淑樺的歌,play_artist,play_artist
我要聽華語新歌,play_language_new_song,play_language_new_song
我要聽買榜,play_song,play_song
我要聽華語新歌,play_language_new_song,play_language_new_song
播放一曲相思,play_song,play_song
今天的歌,play_song,play_song
我要聽買榜,play_song,play_song
我要聽于文文的歌,play_artist,play_artist
西洋音樂,play_language,play_language
我要聽日文歌,play_language,play_language
下雨天適合聽的歌曲,play_theme,play_theme
我要聽搖滾音樂,play_category,play_category
我要聽米津玄師,play_artist,play_artist
我要聽費玉清的歌,play_artist,play_artist
愛我你就抱抱我,play_song,play_song
學貓叫,play_song,play_song
我要聽華語音樂排行榜,play_language_chart,play_language_chart
我要聽快樂的音樂,play_song,play_theme
生僻字,play_song,play_song
我要聽周杰倫的歌,play_artist,play_artist
英文音樂,play_language,play_language
我要聽戴愛玲的空港,play_artist_song,play_artist_song
我要聽搖滾音樂,play_category,play_category
我要聽台語歌,play_language,play_language
我要聽小蘋果,play_song,play_song
我要聽玖壹壹的歌,play_artist,play_artist
我要聽紅蜻蜓,play_song,play_song
我要聽茄子蛋的歌,play_artist,play_artist
涼涼,play_song,play_song
播放一曲相思,play_song,play_song
我要聽排行榜,play_chart,play_chart
我要聽排行榜,play_chart,play_chart
播放蔡依林二零一八專輯,play_album,play_artist
我想聽周杰倫的歌,play_artist,play_artist
我要聽西洋排行榜,play_language_chart,play_language_chart
GABRIEL費爾,play_song,play_artist
我要聽周杰倫的歌,play_artist,play_artist
我要聽獨立音樂,play_category,play_category
我想聽輕音樂不要,play_artist,play_category
我要聽新歌,play_new_song,play_new_song
我要聽于文文的歌,play_artist,play_artist
往後餘生,play_song,play_song
我要聽徐佳瑩的歌,play_artist,play_artist
長篇小說,play_audiobook_category,play_audiobook_category
我要聽浪漫的音樂,play_theme,play_theme
我要聽林俊傑的歌,play_artist,play_artist
我要聽陳奕迅的歌,play_artist,play_artist
我要聽熱門歌曲,play_trending,play_trending
我要聽鬼故事,play_audiobook_category,play_audiobook_category
播放音樂,play_general_music,play_general_music
我想聽快樂情境的歌,play_theme,play_theme
我要聽相聲,play_audiobook_category,play_audiobook_category
我要聽走到飛,play_song,play_song
我想要聽周杰倫,play_artist,play_artist
我要聽 ONE OK ROCK,play_artist,play_artist
我要聽陳綺貞的歌,play_artist,play_artist
我要聽留不住的故事,play_song,play_song
我要聽嘻哈音樂,play_category,play_category
播放起風了,play_song,play_song
下雨天適合聽的歌曲,play_theme,play_theme
來首愛情的騙子我問你,play_song,play_song
涼涼,play_song,play_song
我要聽獨立音樂,play_category,play_category
我要聽光年之外,play_song,play_song
學貓叫,play_song,play_song
我要聽買榜,play_song,play_song
我要聽 Misia 的歌,play_artist,play_artist
我要聽許茹芸的歌,play_artist,play_artist
我要聽買榜,play_song,play_song
我要聽鳳飛飛的歌,play_artist,play_artist
我要聽鳳飛飛的歌,play_artist,play_artist
我要聽熱門歌曲,play_trending,play_trending
我要聽八度空間,play_album,play_album
愛江山更愛美人,play_song,play_song
我要聽吳卓源的歌,play_artist,play_artist
我想聽蔡依林,play_artist,play_artist
我想聽無言的歌,play_song,play_song
我要聽華語音樂,play_language,play_language
馬友友,play_artist,play_artist
我要聽華語新歌,play_language_new_song,play_language_new_song
我要聽張韶涵的歌,play_artist,play_artist
播放一曲相思,play_song,play_song
我要聽華語新歌,play_language_new_song,play_language_new_song
我要聽陳奕迅的歌,play_artist,play_artist
我要聽西遊記,play_audiobook,play_audiobook
學貓叫,play_song,play_song
我要聽煙花易冷,play_song,play_song
沒有沒有叫你同事小豹沒事,play_song,play_song
我要聽田馥甄的歌,play_artist,play_artist
我要聽留不住的故事,play_song,play_song
萬芳,play_artist,play_artist
我要聽五月天的歌,play_artist,play_artist
我要聽江蕙的歌,play_artist,play_artist
我要這首歌播放,play_playlist,play_song
我要聽西遊記,play_audiobook,play_audiobook
我要聽你的愛像月光,play_song,play_song
我要聽新歌,play_new_song,play_new_song
我要聽嘻哈音樂,play_category,play_category
我要聽陳蕾媽媽的皺紋,play_song,play_song
播放一曲相思,play_song,play_song
我要聽蔡琴的歌,play_artist,play_artist
我要聽吳卓源的歌,play_artist,play_artist
我要聽搖滾音樂,play_category,play_category
蘇芮,play_artist,play_artist
我要聽鳳飛飛的歌,play_artist,play_artist
我要聽華語音樂,play_language,play_language
我要聽鬼故事,play_audiobook_category,play_audiobook_category
我要聽林俊傑的歌,play_artist,play_artist
我要聽古典音樂,play_category,play_category
幫我播潘越雲的歌,play_artist,play_artist
游鴻明,play_artist,play_artist
播放韓語歌,play_language,play_language
我要聽紅蜻蜓,play_song,play_song
我要聽孫燕姿的歌,play_artist,play_artist
播放芭比的觸電,play_artist_song,play_artist_song
我要聽日文歌,play_language,play_language
我要聽快樂頌,play_song,play_song
播放一曲相思,play_song,play_song
我要聽鄧紫棋的歌,play_artist,play_artist
凉凉,play_song,play_song
我要聽情歌精選,play_song,play_theme
我要聽陳綺貞的歌,play_artist,play_artist
郭德綱的節目,play_playlist,play_playlist
我要聽周杰倫的歌,play_artist,play_artist
我要聽買榜,play_song,play_song
郭德綱的節目,play_playlist,play_playlist
我要聽林俊傑的歌,play_artist,play_artist
蔡依林安德瑞c,play_artist,play_artist
我要聽橄欖樹,play_song,play_song
往後餘生,play_song,play_song
我要聽鳳飛飛的歌,play_artist,play_artist
我要聽搖滾音樂,play_category,play_category
我要聽床邊故事,play_audiobook_category,play_audiobook_category
蕭亞軒,play_artist,play_artist
往後餘生,play_song,play_song
我要聽相聲,play_audiobook_category,play_audiobook_category
播放一曲相思,play_song,play_song
我要聽動力火車的歌,play_artist,play_artist
蔡幸娟,play_artist,play_artist
我要聽睡眠音樂,play_theme,play_theme
生僻字,play_song,play_song
我要聽我們一起學貓叫的歌,play_song,play_song
